"unique_storm_number","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
2,0,259,93,10
3,0,298,132,10
4,0,299,133,10
5,0,300,134,10
6,0,330,164,10
7,0,338,172,10
8,0,344,178,10
9,8,8,8,8
10,24,24,24,10
12,0,303,124,10
13,0,312,133,10
16,0,352,173,10
23,23,553,23,10
24,30,583,53,10
25,30,658,128,10
26,27,27,35,10
27,28,28,36,10
28,30,35,43,10
29,30,113,121,10
30,30,261,90,10
31,30,286,115,10
32,30,294,123,10
33,30,300,129,10
34,30,311,140,10
35,30,315,144,10
36,30,318,147,10
37,30,329,158,10
38,30,35,35,10
39,30,62,62,10
40,30,70,70,10
41,30,77,77,10
42,30,78,78,10
45,30,105,105,10
46,30,110,110,10
49,30,122,122,10
50,30,126,126,10
53,30,152,152,10
54,30,156,156,10
55,30,160,160,10
56,30,162,162,10
57,30,187,187,10
58,30,191,191,10
