"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","snwd_diff","SOIL_Moist_perc","SOIL_Temp_F"
2,0.478733840115788,0.877960084700888,14.4,-8.9,-4.0157502,27.6943287033333,33.0459299766667
3,0.920971287716634,0.389630449530789,15.6,-4.4,-0.9842525,22.449131945,31.89212847
4,0.927541683579196,0.37371971479047,15.6,2.8,0,23.065190975,33.56195399
5,0.933837228822925,0.357698238833126,13.9,-1.1,0,27.04461806,36.04093611
6,0.98867759023234,-0.150055398344652,8.9,0,0,38.026944444,40.101182638
7,0.958717816987297,-0.284359187281002,25,-2.1,0,38.06886574,49.63134375
8,0.924290722193094,-0.381689220266658,7.8,1.7,0,35.7765625,49.78404167
9,0.545240438540651,-0.838279705217774,30.6,11.7,0,25.8552662033333,58.997375
10,0.313107040935828,-0.949717842791431,26.1,17.2,0,33.42552083,64.75865625
12,0.97410045517242,0.22611568550829,7.8,-10.5,-0.787402,17.702291668,31.145179862
13,0.997324973108155,0.0730951298980785,10,2.2,0,17.15798611,30.73668229
16,0.806479946320946,-0.591261444863577,30,5,0,36.3902199066667,54.1221493066667
23,-0.594726686960765,0.80392796183282,14.4,-0.5,0,37.890711805,40.04262153
24,-0.120208044899353,0.99274872245774,9.4,1.7,0,36.7198495366667,36.8004438666667
25,0.920971287716634,0.389630449530789,18.9,-6,-7.87402,22.3616126555556,31.6779344133333
26,0.296712819273494,-0.954966754855254,26.7,18.3,0,19.26666667,62.6076875
27,0.263665492728009,-0.964614175691243,29.4,13.3,0,34.1494791666667,67.85159375
28,0.145799196919876,-0.989314203970366,29.4,10.6,0,34.0776041666667,69.6713229166667
29,-0.924290722193092,-0.381689220266663,31.1,22.2,0,25.20625,71.04496875
30,0.552435313167619,0.833555771838571,12.8,2.2,0,36.40034722,32.44327604
31,0.849817091527526,0.527077708642376,14.4,-5.5,-7.87402,36.6419560166667,34.46720949
32,0.914127988185333,0.405425728359998,22.2,5,-7.086618,36.4979166666667,35.7812303233333
33,0.956234826591905,0.29260033563335,13.9,6.1,0,36.515711805,42.9494158
34,0.992222209417932,0.124479263886793,7.8,-1.6,0,37.181163195,39.68824392
35,0.998435421155564,0.0559169901006051,11.7,-0.5,0,37.477864585,43.88871875
36,0.99999073973619,0.00430353829624771,18.3,3.3,0,37.62282986,46.43082205
37,0.982926551979983,-0.183998351657678,15,0.6,0,38.09947917,38.07005469
38,-0.508670943852107,0.860961015888993,14.4,8.3,0,35.49513889,42.13115972
39,-0.0688024268023225,0.997630305306585,13.3,-2.7,-3.149608,37.373177085,34.9652066
40,0.0688024268023165,0.997630305306586,5,-10,0,36.16050347,35.07636024
41,0.205104499868615,0.978740079966916,8.9,-3.2,-1.181103,30.58064236,30.766675345
42,0.205104499868615,0.978740079966916,8.9,-8.2,-3.93701,31.90896991,31.6613275466667
45,0.635432300890176,0.772156584499165,6.7,-6.6,-1.181103,32.75217014,32.090105905
46,0.687052767223664,0.726607524768568,5.6,-4.3,0,33.651822915,31.976475695
49,0.831170626365808,0.556017436657044,16.1,-4.3,0,35.48871528,42.838346355
50,0.867456354729596,0.497513288907182,13.3,-6,1.181103,35.53113426,40.4338981466667
53,0.995918996147179,0.0902516100310457,13.9,3.3,0,36.929166665,41.117763025
54,0.999768501979891,0.021516097436229,4.4,1.7,0,36.15190972,41.63015972
55,0.997917160865393,-0.0645084494493103,13.3,6.1,0,35.371527775,44.945654515
56,0.99665890175417,-0.0816763953304196,23.9,-2.1,0,37.39753472,42.79085382
57,0.863142128049913,-0.504961054721518,20,4.4,0,30.34809028,52.7431875
58,0.835925479418637,-0.548842958284719,10.6,5.6,0,36.350086805,51.575453125
